,StartQuarter,ChannelLength,Stop Percent
0,2000-01-01,1100,0.076
1,2000-04-01,3400,0.076
2,2000-07-01,9800,0.076
3,2000-10-01,4000,0.076
4,2001-01-01,5300,0.088
5,2001-04-01,9400,0.088
6,2001-07-01,9000,0.088
7,2001-10-01,9200,0.088
8,2002-01-01,9700,0.088
9,2002-04-01,8900,0.089
10,2002-07-01,9300,0.088
11,2002-10-01,9300,0.088
12,2003-01-01,9000,0.088
13,2003-04-01,8800,0.089
14,2003-07-01,8900,0.088
15,2003-10-01,9400,0.088
16,2004-01-01,8800,0.088
17,2004-04-01,9600,0.052
18,2004-07-01,9600,0.08
19,2004-10-01,7600,0.081
20,2005-01-01,7600,0.08
21,2005-04-01,5500,0.08
22,2005-07-01,7600,0.08
23,2005-10-01,5500,0.081
24,2006-01-01,5500,0.08
25,2006-04-01,5500,0.08
26,2006-07-01,6500,0.077
27,2006-10-01,1600,0.077
28,2007-01-01,5500,0.079
29,2007-04-01,1600,0.08
30,2007-07-01,1600,0.078
31,2007-10-01,5800,0.079
32,2008-01-01,5700,0.079
33,2008-04-01,6900,0.018
34,2008-07-01,8900,0.018
35,2008-10-01,1600,0.1
36,2009-01-01,1700,0.1
37,2009-04-01,3300,0.1
38,2009-07-01,3400,0.1
39,2009-10-01,2000,0.1
40,2010-01-01,3500,0.1
41,2010-04-01,4300,0.1
42,2010-07-01,600,0.079
43,2010-10-01,1400,0.032
44,2011-01-01,2100,0.099
45,2011-04-01,1900,0.032
46,2011-07-01,1300,0.036
47,2011-10-01,6300,0.032
48,2012-01-01,1300,0.032
49,2012-04-01,1400,0.034
50,2012-07-01,700,0.047
51,2012-10-01,800,0.045
52,2013-01-01,4100,0.019
53,2013-04-01,700,0.02
54,2013-07-01,4100,0.022
55,2013-10-01,4600,0.012
56,2014-01-01,4100,0.012
57,2014-04-01,4700,0.008
58,2014-07-01,9800,0.013
59,2014-10-01,3800,0.009
60,2015-01-01,9100,0.028
61,2015-04-01,9700,0.028
62,2015-07-01,9300,0.028
63,2015-10-01,9700,0.028
64,2016-01-01,9600,0.028
65,2016-04-01,9500,0.028
66,2016-07-01,10000,0.057
67,2016-10-01,9500,0.033
68,2017-01-01,9700,0.057
69,2017-04-01,8900,0.057
70,2017-07-01,9900,0.057
71,2017-10-01,7600,0.057
72,2018-01-01,7400,0.058
73,2018-04-01,7200,0.057
74,2018-07-01,2200,0.053
75,2018-10-01,7300,0.057
76,2019-01-01,6700,0.057
77,2019-04-01,2000,0.056
78,2019-07-01,2000,0.055
79,2019-10-01,2000,0.057
