,StartQuarter,ChannelLength,Stop Percent
0,2000-01-01,1100,0.079
1,2000-07-01,9800,0.076
2,2001-01-01,5300,0.088
3,2001-07-01,9000,0.088
4,2002-01-01,9200,0.088
5,2002-07-01,9000,0.088
6,2003-01-01,8800,0.088
7,2003-07-01,8900,0.088
8,2004-01-01,500,0.083
9,2004-07-01,10000,0.08
10,2005-01-01,8300,0.08
11,2005-07-01,6600,0.08
12,2006-01-01,5500,0.08
13,2006-07-01,6700,0.077
14,2007-01-01,5500,0.079
15,2007-07-01,1700,0.079
16,2008-01-01,5600,0.081
17,2008-07-01,5600,0.089
18,2009-01-01,1900,0.1
19,2009-07-01,2000,0.1
20,2010-01-01,3400,0.1
21,2010-07-01,500,0.078
22,2011-01-01,3300,0.1
23,2011-07-01,1300,0.035
24,2012-01-01,1300,0.032
25,2012-07-01,800,0.034
26,2013-01-01,3600,0.012
27,2013-07-01,3500,0.009
28,2014-01-01,9100,0.02
29,2014-07-01,9200,0.008
30,2015-01-01,9200,0.028
31,2015-07-01,9300,0.03
32,2016-01-01,9600,0.028
33,2016-07-01,9700,0.028
34,2017-01-01,9800,0.057
35,2017-07-01,9800,0.057
36,2018-01-01,7600,0.057
37,2018-07-01,2200,0.055
38,2019-01-01,6700,0.053
39,2019-07-01,1900,0.053
