,StartQuarter,ChannelLength,Stop Percent
0,1/1/2012,9200,0.06
1,4/1/2012,7400,0.059
2,7/1/2012,1300,0.067
3,10/1/2012,6400,0.052
4,1/1/2013,1000,0.049
5,4/1/2013,1200,0.05
6,7/1/2013,1400,0.05
7,10/1/2013,2300,0.052
8,1/1/2014,2100,0.05
9,4/1/2014,2100,0.053
10,7/1/2014,1600,0.092
11,10/1/2014,2100,0.073
12,1/1/2015,2200,0.071
13,4/1/2015,2900,0.06
14,7/1/2015,2600,0.093
15,10/1/2015,1000,0.093
16,1/1/2016,2700,0.051
17,4/1/2016,4200,0.036
18,7/1/2016,8500,0.06
19,10/1/2016,8400,0.063
20,1/1/2017,8700,0.06
21,4/1/2017,8400,0.059
22,7/1/2017,8400,0.047
23,10/1/2017,8300,0.05
24,1/1/2018,8200,0.047
25,4/1/2018,8400,0.043
26,7/1/2018,3900,0.044
27,10/1/2018,1200,0.025
28,1/1/2019,9100,0.025
29,4/1/2019,9300,0.025
30,7/1/2019,10000,0.024
31,10/1/2019,9100,0.025
