,StartPos,StartDate,StartTime,EntryPrice,EndPos,EndDate,EndTime,ClosePrice,Slpg,Profit
0,long,2012-02-09,09:05,261.98,end long,2012-03-30,14:30,276.28,70,5935.999999999981
1,long,2012-04-03,09:10,286.68,end long,2012-04-10,11:55,270.59396000000004,70,-6826.136799999987
2,short,2012-06-01,09:05,223.55,end short,2012-06-29,09:05,222.39,70,417.2000000000105
3,long,2012-07-03,09:05,235.98,end long,2012-07-25,10:35,242.30943000000005,70,2588.3606000000245
4,long,2012-08-01,13:00,259.99,end long,2012-09-17,13:55,277.7541,70,7390.921999999993
5,short,2012-09-19,09:20,276.65999999999997,end short,2012-09-26,11:35,288.9436,70,-5229.112000000015
6,long,2012-10-09,12:20,298.46,end long,2012-10-16,14:20,283.59419999999994,70,-6313.636000000015
7,long,2013-01-02,09:05,286.46,end long,2013-02-21,09:05,305.49924,70,7926.480800000003
8,short,2013-02-27,10:50,302.63,end short,2013-03-08,14:25,307.77660000000003,70,-2231.5720000000147
9,short,2013-03-19,12:20,292.72999999999996,end short,2013-03-28,14:30,299.21999999999997,70,-2795.800000000004
10,short,2013-04-03,09:05,288.24,end short,2013-05-03,10:30,271.1415,70,7111.370000000001
11,long,2013-05-08,14:05,276.25,end long,2013-05-30,09:05,267.577,70,-3712.6600000000008
12,short,2013-05-31,14:30,264.94,end short,2013-06-07,11:40,278.187,70,-5633.740000000006
13,long,2013-06-14,09:15,281.71,end long,2013-06-21,09:35,267.62449999999995,70,-5985.910000000011
14,short,2013-06-21,10:20,264.54,end short,2013-06-28,14:30,262.15000000000003,70,933.7999999999943
15,long,2013-07-08,09:15,282.13,end long,2013-07-31,09:20,291.536,70,3880.5200000000023
16,short,2013-08-08,09:10,280.64,end short,2013-08-14,11:50,293.5065,70,-5473.930000000013
17,long,2013-08-28,09:05,304.97999999999996,end long,2013-09-05,10:00,289.73099999999994,70,-6474.58000000001
18,short,2013-09-10,09:05,282.69,end short,2013-09-30,14:30,272.40999999999997,70,4247.600000000012
19,short,2013-10-01,09:05,269.47,end short,2013-10-10,12:40,280.27384,70,-4607.612799999992
20,short,2013-10-23,14:25,265.69,end short,2013-11-12,10:20,274.23535999999996,70,-3659.051199999983
21,long,2013-11-14,11:55,282.46000000000004,end long,2013-12-31,14:30,291.29999999999995,70,3642.7999999999656
22,short,2014-01-14,09:05,273.66,end short,2014-02-07,11:50,284.2035,70,-4498.269999999998
23,long,2014-02-14,14:20,292.4,end long,2014-03-17,14:30,282.65349999999995,70,-4163.530000000011
24,short,2014-04-02,09:05,278.60999999999996,end short,2014-04-08,13:40,292.37598,70,-5851.71160000003
25,long,2014-04-11,09:20,297.89,end long,2014-05-05,11:50,287.84065,70,-4290.727000000002
26,long,2014-06-12,09:05,305.33000000000004,end long,2014-06-30,14:30,307.14,70,690.1999999999771
27,short,2014-07-11,12:45,294.26,end short,2014-09-30,14:30,269.16,70,10471.999999999985
28,short,2014-10-02,09:05,264.56,end short,2014-12-31,14:30,179.13,70,35810.600000000006
29,short,2015-01-05,09:05,169.79,end short,2015-01-14,14:30,166.65831,70,1245.3097999999966
