,StartPos,StartDate,StartTime,EntryPrice,EndPos,EndDate,EndTime,ClosePrice,Slpg,Profit
0,long,2012-01-03,09:10,233.63,end long,2012-04-10,12:15,270.3064,91,15313.088
1,short,2012-04-10,12:20,269.76,end short,2012-06-29,12:20,222.60000000000002,91,19716.199999999986
2,long,2012-07-03,09:05,235.98,end long,2012-07-25,10:35,244.12740000000002,91,3330.908000000014
3,long,2012-08-01,13:00,259.99,end long,2012-09-17,13:55,279.83799999999997,91,8245.159999999982
4,short,2012-09-19,09:20,276.65999999999997,end short,2012-09-26,11:35,287.048,91,-4453.960000000014
5,long,2012-10-09,12:10,297.77,end long,2012-10-17,10:35,281.20099999999996,91,-7049.980000000007
6,short,2012-10-18,09:05,272.27000000000004,end short,2012-11-12,09:05,274.3598,91,-968.7159999999867
7,long,2012-11-19,09:05,277.94,end long,2012-12-06,11:25,264.09299999999996,91,-5906.740000000015
8,long,2012-12-20,13:40,281.75,end long,2013-02-27,12:55,301.9656,91,8399.551999999998
9,short,2013-02-27,13:45,301.46999999999997,end short,2013-05-06,11:40,273.72380000000004,91,11562.403999999971
10,long,2013-05-08,14:05,276.25,end long,2013-06-21,10:20,264.7604,91,-4916.631999999998
11,short,2013-06-21,10:25,264.12,end short,2013-07-03,09:15,274.31739999999996,91,-4373.907999999983
12,long,2013-07-08,09:15,282.13,end long,2013-08-06,09:20,288.4672,91,2570.623999999998
13,short,2013-08-06,11:00,287.01,end short,2013-08-15,09:05,296.30180000000007,91,-3993.5560000000337
14,long,2013-08-28,09:05,304.97999999999996,end long,2013-09-10,09:05,286.68119999999993,91,-7776.496000000012
15,short,2013-09-10,09:10,281.28000000000003,end short,2013-11-14,09:15,276.32079999999996,91,1991.8640000000278
16,long,2013-11-14,09:50,278.11,end long,2014-01-03,11:15,278.4468,91,50.45599999999263
17,short,2014-01-13,14:15,275.34999999999997,end short,2014-02-11,13:45,286.91020000000003,91,-4946.284000000028
18,long,2014-02-11,14:15,287.19,end long,2014-04-02,09:05,279.67819999999995,91,-3245.956000000021
19,short,2014-04-02,09:35,277.85,end short,2014-04-09,10:35,294.31960000000004,91,-7008.232000000005
20,long,2014-04-09,10:40,295.10999999999996,end long,2014-07-11,11:20,294.43619999999993,91,-373.9960000000119
21,short,2014-07-11,12:45,294.26,end short,2015-01-14,14:30,164.94660000000002,91,54220.62799999999
22,long,2015-01-30,13:55,171.14000000000001,end long,2015-02-04,12:30,179.28619999999998,91,3330.403999999985
23,long,2015-02-13,09:50,191.49,end long,2015-02-19,09:05,181.00639999999999,91,-4494.11200000001
24,long,2015-02-25,13:45,192.72,end long,2015-03-05,13:05,190.19019999999998,91,-1153.5160000000096
25,short,2015-03-16,09:05,176.44,end short,2015-03-18,14:25,183.433,91,-3028.0599999999977
26,long,2015-04-15,11:35,193.19,end long,2015-05-27,09:05,199.75,91,2664.2000000000007
27,short,2015-05-27,09:10,199.29,end short,2015-05-29,11:35,208.7776,91,-4075.7920000000063
28,long,2015-06-09,14:10,213.05999999999997,end long,2015-06-19,12:50,209.02779999999998,91,-1784.5239999999953
29,short,2015-07-06,09:05,203.82,end short,2015-07-09,09:40,211.9788,91,-3517.696000000006
30,short,2015-07-14,09:05,199.11,end short,2015-08-12,09:20,184.4506,91,6065.948000000002
31,short,2015-08-19,10:10,173.62,end short,2015-08-27,12:10,159.4452,91,5862.416000000002
32,long,2015-10-06,11:25,172.96,end long,2015-10-12,14:30,163.39079999999998,91,-4110.064000000009
