,StartQuarter,ChannelLength,Stop Percent
0,2012-01-01,8400,0.052
1,2012-04-01,2100,0.052
2,2012-07-01,1200,0.065
3,2012-10-01,1400,0.064
4,2013-01-01,2100,0.052
5,2013-04-01,2300,0.048
6,2013-07-01,2500,0.05
7,2013-10-01,2300,0.05
8,2014-01-01,2700,0.051
9,2014-04-01,700,0.092
10,2014-07-01,800,0.092
11,2014-10-01,1500,0.093
12,2015-01-01,8400,0.06
13,2015-04-01,8600,0.064
14,2015-07-01,7200,0.069
15,2015-10-01,4100,0.078
16,2016-01-01,5400,0.05
17,2016-04-01,3900,0.051
18,2016-07-01,3600,0.041
19,2016-10-01,3000,0.034
20,2017-01-01,8800,0.032
21,2017-04-01,8500,0.025
22,2017-07-01,9900,0.033
23,2017-10-01,10000,0.023
24,2018-01-01,9500,0.025
25,2018-04-01,9400,0.022
26,2018-07-01,9300,0.024
27,2018-10-01,9900,0.025
28,2019-01-01,5400,0.03
29,2019-04-01,7000,0.025
30,2019-07-01,5400,0.024
31,2019-10-01,500,0.024
