,StartQuarter,ChannelLength,Stop Percent
0,2012-01-01,9100,0.059
1,2012-04-01,7300,0.061
2,2012-07-01,6400,0.059
3,2012-10-01,1900,0.053
4,2013-01-01,2300,0.052
5,2013-04-01,1200,0.064
6,2013-07-01,2300,0.053
7,2013-10-01,2200,0.052
8,2014-01-01,2100,0.052
9,2014-04-01,2200,0.053
10,2014-07-01,2100,0.069
11,2014-10-01,2200,0.059
12,2015-01-01,2200,0.068
13,2015-04-01,4000,0.059
14,2015-07-01,2800,0.068
15,2015-10-01,700,0.092
16,2016-01-01,2800,0.061
17,2016-04-01,2800,0.059
18,2016-07-01,9200,0.06
19,2016-10-01,10000,0.059
20,2017-01-01,8100,0.069
21,2017-04-01,9300,0.059
22,2017-07-01,9200,0.06
23,2017-10-01,8200,0.054
24,2018-01-01,9200,0.05
25,2018-04-01,8300,0.043
26,2018-07-01,3900,0.032
27,2018-10-01,1200,0.034
28,2019-01-01,8200,0.045
29,2019-04-01,8300,0.051
30,2019-07-01,8300,0.051
31,2019-10-01,8900,0.051
