,StartPos,StartDate,StartTime,EntryPrice,EndPos,EndDate,EndTime,ClosePrice,Slpg,Profit
0,long,2012-02-09,09:05,261.98,end long,2012-03-30,14:30,276.28,91,5914.999999999981
1,long,2012-04-03,09:10,286.68,end long,2012-04-10,12:15,270.01884,91,-7088.6871999999985
2,short,2012-06-01,09:05,223.55,end short,2012-06-29,12:20,222.81,91,219.80000000000382
3,long,2012-08-22,14:15,284.64,end long,2012-09-17,13:55,280.1357,91,-1982.8060000000003
4,long,2012-10-09,12:20,298.46,end long,2012-10-16,14:20,283.29504999999995,91,-6460.279000000014
5,short,2012-10-19,12:20,269.76,end short,2012-10-29,09:30,272.54798999999997,91,-1261.9557999999913
6,long,2012-12-03,09:05,280.46999999999997,end long,2012-12-06,09:25,266.05965,91,-6143.346999999998
7,long,2012-12-20,13:40,281.75,end long,2012-12-31,14:30,282.03000000000003,91,26.600000000012415
8,long,2013-01-02,09:05,286.46,end long,2013-02-27,10:45,304.53552,91,7500.718400000017
9,short,2013-03-19,12:20,292.72999999999996,end short,2013-03-28,14:30,299.21999999999997,91,-2816.800000000004
10,short,2013-04-03,09:05,288.24,end short,2013-05-06,14:20,274.75672000000003,91,5571.977599999991
11,long,2013-05-08,14:05,276.25,end long,2013-06-21,11:45,263.63376,91,-5389.820800000002
12,short,2013-06-21,11:50,263.43,end short,2013-06-28,14:30,262.15000000000003,91,446.59999999998854
13,long,2013-07-08,09:15,282.13,end long,2013-07-31,09:25,290.61535999999995,91,3472.851199999982
14,short,2013-09-17,09:05,277.15999999999997,end short,2013-09-30,14:30,272.40999999999997,91,1904.0
15,short,2013-10-01,09:05,269.47,end short,2013-10-10,12:40,280.27384,91,-4628.612799999992
16,short,2013-10-23,14:25,265.69,end short,2013-11-12,10:20,274.23535999999996,91,-3680.051199999983
17,long,2013-11-14,11:55,282.46000000000004,end long,2013-12-31,14:30,291.29999999999995,91,3621.7999999999656
18,short,2014-01-14,09:05,273.66,end short,2014-02-07,13:20,284.74484,91,-4746.632799999994
19,long,2014-02-14,14:20,292.4,end long,2014-03-18,09:10,282.05843999999996,91,-4434.455200000007
20,short,2014-04-02,09:05,278.60999999999996,end short,2014-04-08,13:40,292.37598,91,-5872.71160000003
21,long,2014-04-11,09:20,297.89,end long,2014-05-05,11:50,287.84065,91,-4311.727000000002
22,long,2014-06-12,09:05,305.33000000000004,end long,2014-06-30,14:30,307.14,91,669.1999999999771
23,short,2014-07-15,10:15,291.42,end short,2014-09-30,14:30,269.16,91,9258.199999999997
24,short,2014-10-02,09:05,264.56,end short,2014-12-31,14:30,179.13,91,35789.600000000006
25,short,2015-01-05,09:05,169.79,end short,2015-01-14,14:30,166.19148,91,1420.3783999999914
26,long,2015-02-13,09:50,191.49,end long,2015-02-19,09:20,179.46591999999998,91,-5141.1136000000115
27,long,2015-02-25,13:45,192.72,end long,2015-03-10,09:20,188.57155999999998,91,-1833.3448000000094
28,long,2015-04-23,10:45,202.64000000000001,end long,2015-05-08,09:45,199.65197000000003,91,-1345.9725999999919
29,long,2015-06-09,14:10,213.05999999999997,end long,2015-06-19,12:50,209.25017000000003,91,-1691.1285999999782
30,short,2015-07-15,12:10,195.95,end short,2015-08-12,10:35,185.84268,91,4154.074399999995
