,StartPos,StartDate,StartTime,EntryPrice,EndPos,EndDate,EndTime,ClosePrice,Slpg,Profit
0,long,2012-02-09,09:05,261.98,end long,2012-04-10,12:15,270.01884,91,3285.312799999997
1,short,2012-06-21,14:25,209.94000000000003,end short,2012-06-29,12:20,222.74634,91,-5469.662799999991
2,long,2012-08-02,09:10,260.74,end long,2012-09-17,13:55,280.1357,91,8055.19399999999
3,long,2012-10-09,12:20,298.46,end long,2012-10-17,10:35,281.50015,91,-7214.136999999983
4,long,2013-01-02,09:05,286.46,end long,2013-02-27,10:45,304.53552,91,7500.718400000017
5,short,2013-02-27,10:50,302.63,end short,2013-03-11,09:05,308.65680000000003,91,-2622.256000000016
6,short,2013-03-19,12:20,292.72999999999996,end short,2013-05-03,10:55,271.65796,91,8759.256799999983
7,long,2013-05-06,11:00,272.52,end long,2013-05-30,09:05,267.01368,91,-2403.654399999983
8,short,2013-05-31,14:30,264.94,end short,2013-06-14,09:05,278.71688,91,-5877.289600000002
9,long,2013-06-14,09:15,281.71,end long,2013-06-21,09:40,267.06107999999995,91,-6243.546400000014
10,short,2013-06-21,10:20,264.54,end short,2013-06-28,14:30,262.15000000000003,91,912.7999999999943
11,long,2013-07-08,09:15,282.13,end long,2013-07-31,09:25,290.92224,91,3601.740799999997
12,short,2013-09-17,09:05,277.15999999999997,end short,2013-10-10,12:40,280.27384,91,-1398.8128000000163
13,short,2013-10-23,14:25,265.69,end short,2013-11-12,10:20,274.23535999999996,91,-3680.051199999983
14,long,2013-11-14,11:55,282.46000000000004,end long,2013-12-31,14:30,291.29999999999995,91,3621.7999999999656
15,short,2014-01-14,09:05,273.66,end short,2014-02-07,13:20,284.74484,91,-4746.632799999994
16,long,2014-02-14,14:20,292.4,end long,2014-03-18,09:10,282.05843999999996,91,-4434.455200000007
17,short,2014-04-02,09:05,278.60999999999996,end short,2014-04-08,12:45,292.09832000000006,91,-5756.094400000043
18,long,2014-04-11,09:20,297.89,end long,2014-05-05,11:50,288.14459999999997,91,-4184.0680000000075
19,long,2014-06-12,09:05,305.33000000000004,end long,2014-06-30,14:30,307.14,91,669.1999999999771
20,short,2014-07-15,10:15,291.42,end short,2014-12-31,14:30,179.13,91,47070.80000000001
21,short,2015-01-05,09:05,169.79,end short,2015-01-14,14:30,164.79099,91,2008.5841999999993
22,long,2015-04-23,10:45,202.64000000000001,end long,2015-05-08,09:45,199.65197000000003,91,-1345.9725999999919
23,long,2015-06-09,14:10,213.05999999999997,end long,2015-06-19,12:50,209.25017000000003,91,-1691.1285999999782
24,short,2015-07-15,12:10,195.95,end short,2015-08-12,09:30,184.62461,91,4665.663799999999
25,short,2015-08-19,10:10,173.62,end short,2015-08-27,12:10,159.59561999999997,91,5799.239600000015
26,long,2015-11-03,14:10,174.01,end long,2015-11-10,10:35,163.39539,91,-4549.1362
27,short,2015-11-13,09:25,153.87,end short,2015-11-19,09:55,157.52667,91,-1626.8013999999962
28,short,2015-12-22,09:05,148.0,end short,2015-12-24,09:05,156.18981,91,-3530.7201999999975
29,short,2016-01-06,10:35,145.14000000000001,end short,2016-01-22,09:25,136.69571999999997,91,3455.5976000000205
30,short,2016-01-27,09:05,128.85,end short,2016-01-28,09:05,135.62613,91,-2936.9745999999977
31,short,2016-02-02,09:05,126.63,end short,2016-02-04,09:10,130.53233999999998,91,-1729.982799999992
32,short,2016-02-08,12:20,122.69000000000001,end short,2016-02-10,12:40,123.00284999999998,91,-222.39699999998697
33,long,2016-03-22,09:55,149.34,end long,2016-03-31,09:05,142.24156,91,-3072.3448000000044
34,long,2016-04-12,11:25,151.61,end long,2016-04-18,09:05,143.17315000000002,91,-3634.476999999997
35,long,2016-04-22,09:05,152.45,end long,2016-05-03,09:30,149.08263000000002,91,-1505.2953999999854
36,long,2016-05-16,09:05,158.95,end long,2016-06-08,11:05,153.44887,91,-2401.4745999999955
37,long,2016-12-20,09:05,164.85,end long,2016-12-30,14:30,171.21,91,2580.2000000000057
38,long,2017-01-03,09:05,174.41,end long,2017-01-09,09:05,164.63736000000003,91,-4195.508799999986
39,short,2017-04-27,09:05,132.41,end short,2017-05-10,12:55,131.68665000000001,91,212.8069999999925
40,short,2017-06-14,10:45,122.9,end short,2017-06-28,10:35,124.25246999999999,91,-659.0373999999927
41,long,2017-08-31,10:25,162.57,end long,2017-09-04,09:05,158.72788000000003,91,-1704.6903999999856
42,long,2017-10-26,13:40,169.26000000000002,end long,2017-11-15,10:35,171.68545,91,927.6889999999931
43,long,2018-01-11,10:05,182.95999999999998,end long,2018-02-02,09:55,182.4042,91,-324.43599999999014
44,long,2018-04-30,12:35,191.84,end long,2018-05-02,11:35,183.80510999999998,91,-3465.653800000008
45,long,2018-05-09,09:05,193.42,end long,2018-05-25,10:20,196.47047999999998,91,1190.2015999999971
46,long,2018-09-04,09:05,197.93,end long,2018-09-05,09:05,191.59624,91,-2751.179200000005
47,long,2018-09-24,09:05,198.09,end long,2018-10-04,13:45,202.45719999999997,91,1743.2239999999867
48,short,2018-10-23,11:45,178.85999999999999,end short,2018-10-29,10:30,176.68872000000002,91,820.9375999999863
49,short,2018-10-31,14:10,170.74,end short,2018-11-12,09:40,159.52656000000002,91,4618.644799999996
50,short,2018-11-13,09:25,154.4,end short,2018-11-14,10:40,153.24168,91,395.4944000000014
51,short,2018-11-20,09:10,148.18,end short,2018-11-21,11:35,146.91552,91,440.0816000000085
52,short,2018-11-23,09:05,134.73999999999998,end short,2018-11-26,09:25,137.60688000000002,91,-1295.0896000000157
53,short,2018-12-18,11:00,132.63,end short,2018-12-19,10:55,135.51192,91,-1301.4064000000035
54,short,2018-12-20,11:30,130.82,end short,2018-12-26,09:40,125.16096000000002,91,2285.79679999999
55,long,2019-04-22,09:05,193.18,end long,2019-05-02,11:20,186.3396,91,-2963.968000000007
