,StartPos,StartDate,StartTime,EntryPrice,EndPos,EndDate,EndTime,ClosePrice,Slpg,Profit
0,long,2012-01-04,09:45,238.76,end long,2012-04-10,11:55,270.59396000000004,91,13279.26320000002
1,short,2012-04-18,11:10,259.52000000000004,end short,2012-06-29,09:05,222.39,91,15503.600000000022
2,long,2012-07-13,13:15,248.43,end long,2012-07-25,10:35,244.38711000000004,91,-1789.013799999988
3,long,2012-08-01,13:00,259.99,end long,2012-09-17,13:55,280.1357,91,8370.19399999999
4,long,2012-10-09,12:20,298.46,end long,2012-10-17,10:35,281.50015,91,-7214.136999999983
5,short,2012-10-19,12:20,269.76,end short,2012-11-12,09:05,274.10096999999996,91,-1914.2073999999875
6,long,2012-12-20,13:40,281.75,end long,2013-02-27,12:55,302.28684000000004,91,8534.472800000018
7,short,2013-04-03,09:05,288.24,end short,2013-05-06,11:40,273.46557,91,6114.260599999998
8,long,2013-07-08,09:15,282.13,end long,2013-08-06,09:10,288.77408,91,2699.513600000013
9,short,2013-09-17,09:05,277.15999999999997,end short,2013-11-14,09:05,276.0601199999999,91,370.9496000000174
10,long,2013-11-21,10:55,282.5,end long,2014-01-03,11:05,278.74302000000006,91,-1668.9315999999756
11,short,2014-01-16,14:30,271.53999999999996,end short,2014-02-11,10:00,286.63953,91,-6432.802600000006
12,long,2014-02-20,14:30,296.62,end long,2014-03-19,11:10,279.97573,91,-7081.5934000000025
13,long,2014-04-11,09:20,297.89,end long,2014-07-11,11:20,294.74942999999996,91,-1410.0394000000106
14,short,2014-07-15,11:10,289.51,end short,2015-01-14,14:30,164.79099,91,52290.9842
15,long,2015-02-25,13:45,192.72,end long,2015-03-05,13:05,190.39253,91,-1068.5374000000022
16,long,2015-04-23,10:45,202.64000000000001,end long,2015-05-08,09:45,199.65197000000003,91,-1345.9725999999919
17,long,2015-06-09,14:10,213.05999999999997,end long,2015-06-19,12:50,209.25017000000003,91,-1691.1285999999782
18,short,2015-07-15,12:10,195.95,end short,2015-08-12,09:05,184.27658999999997,91,4811.832200000008
19,short,2015-08-19,10:10,173.62,end short,2015-08-27,12:10,159.29477999999997,91,5925.592400000012
20,short,2015-11-13,09:25,153.87,end short,2015-11-19,09:50,157.22973,91,-1502.0865999999937
21,short,2015-12-22,09:05,148.0,end short,2015-12-24,09:05,155.89539,91,-3407.0637999999967
22,short,2016-01-06,10:35,145.14000000000001,end short,2016-01-22,09:25,136.69571999999997,91,3455.5976000000205
23,short,2016-01-27,09:05,128.85,end short,2016-01-28,09:05,135.62613,91,-2936.9745999999977
24,short,2016-02-02,09:05,126.63,end short,2016-02-04,09:10,130.53233999999998,91,-1729.982799999992
25,short,2016-02-08,12:20,122.69000000000001,end short,2016-02-10,12:40,123.00284999999998,91,-222.39699999998697
26,long,2016-03-09,10:40,147.42,end long,2016-03-31,09:05,142.24156,91,-2265.944799999998
27,long,2016-04-12,11:25,151.61,end long,2016-04-18,09:05,143.17315000000002,91,-3634.476999999997
28,long,2016-04-22,09:05,152.45,end long,2016-05-03,09:30,149.08263000000002,91,-1505.2953999999854
29,long,2016-05-16,09:05,158.95,end long,2016-06-08,11:05,153.44887,91,-2401.4745999999955
30,short,2016-07-05,09:55,140.39,end short,2016-07-12,09:25,138.16772999999998,91,842.3534000000037
31,short,2016-07-20,09:05,129.04,end short,2016-08-03,12:10,128.74263,91,33.895400000000336
32,long,2016-09-16,09:05,146.35,end long,2016-09-20,09:05,140.06785,91,-2729.5030000000006
33,long,2016-09-28,14:30,149.89,end long,2016-10-31,11:45,148.25455,91,-777.8889999999965
34,long,2016-11-01,09:05,162.68,end long,2016-11-01,12:25,153.08188,91,-4122.210399999998
35,short,2016-11-14,10:00,135.07,end short,2016-11-17,09:35,141.17529,91,-2655.2217999999984
36,long,2016-12-20,09:05,164.85,end long,2017-01-09,09:05,164.63736000000003,91,-180.30879999998524
37,short,2017-02-03,09:05,153.42,end short,2017-02-09,09:05,157.39917,91,-1762.2514000000044
38,short,2017-02-28,10:45,148.10000000000002,end short,2017-03-28,11:00,143.31446999999997,91,1918.9226000000215
39,short,2017-04-27,09:05,132.41,end short,2017-05-10,12:55,131.68665000000001,91,212.8069999999925
40,short,2017-06-14,10:45,122.9,end short,2017-06-28,10:35,124.25246999999999,91,-659.0373999999927
41,long,2017-07-27,09:05,142.09,end long,2017-08-14,12:00,140.83947,91,-616.222599999999
42,long,2017-08-28,09:05,151.46,end long,2017-09-04,09:05,158.72788000000003,91,2961.509600000008
43,long,2017-10-26,13:40,169.26000000000002,end long,2017-11-15,10:35,171.68545,91,927.6889999999931
44,long,2018-01-11,10:05,182.95999999999998,end long,2018-02-06,09:05,180.1074,91,-1289.091999999986
45,short,2018-02-13,09:05,162.87,end short,2018-02-16,11:10,172.47933,91,-4126.9186
46,long,2018-04-11,10:45,184.4,end long,2018-05-28,09:05,193.99656000000002,91,3939.5552000000043
47,short,2018-06-15,11:30,180.94,end short,2018-06-27,10:10,188.99973,91,-3476.0866000000005
48,long,2018-09-04,09:05,197.93,end long,2018-09-06,11:50,186.25213000000002,91,-4995.7053999999935
49,long,2018-09-24,09:05,198.09,end long,2018-10-10,11:05,196.81015,91,-628.5370000000044
50,short,2018-10-22,09:50,182.10999999999999,end short,2018-12-03,09:05,141.20705999999998,91,17088.234800000002
51,short,2018-12-18,11:00,132.63,end short,2018-12-26,11:30,128.43552,91,1670.6815999999994
52,long,2019-02-14,09:05,145.03,end long,2019-03-28,09:20,163.44229,91,7642.161800000005
53,long,2019-04-02,14:20,174.04,end long,2019-05-07,09:05,183.60792,91,3927.526400000006
54,short,2019-05-31,11:10,167.66,end short,2019-06-10,11:15,163.2978,91,1741.1240000000007
55,short,2019-08-07,14:15,155.62,end short,2019-08-13,09:50,164.68508999999997,91,-3898.337799999987
56,short,2019-09-03,09:05,153.55,end short,2019-09-05,09:15,161.56104,91,-3455.6367999999916
57,long,2019-09-16,13:15,183.92,end long,2019-09-17,10:30,173.91562000000002,91,-4292.839599999987
58,long,2019-11-21,10:50,183.44,end long,2019-11-29,13:20,174.59314,91,-3806.681199999997
59,long,2019-12-19,10:30,185.79000000000002,end long,2019-12-31,14:30,184.17,91,-771.4000000000138
